"",,الانتخابية,,"ماجلبلعباس",,فوسانة,,فريانة,,سبيطلة,,سبيبة,,حيدرة,,"حاس يالفريد",,تالة,,جدليان,,"القصرينالشمالية",,"القصرينالجنوبية",,العيون,,الزهــــور,,,,,
"",,714,,19,,31,,53,,287,,57,,6,,12,,26,,17,,123,,36,,14,,33,,قائمة حزب الأمان,,1,
"",,566,,8,,15,,28,,30,,15,,3,,7,,10,,7,,47,,30,,8,,358,,قائمة شبابنا فخر وعزة,,2,
"",,236,,6,,21,,18,,40,,11,,5,,5,,13,,11,,76,,8,,7,,15,,قائمة الياسمين,,3,
"",,890,,99,,54,,75,,88,,37,,11,,10,,116,,10,,286,,31,,13,,60,,"قائمة حزب التيارالديمقراطي",,4,
"",,770,,27,,43,,65,,98,,49,,7,,24,,154,,26,,146,,49,,24,,58,,قائمة حركة وفاء,,5,
"",,1 384,,15,,348,,135,,94,,65,,7,,11,,92,,59,,380,,45,,77,,56,,قائمة الحزب الجمهوري,,6,
"",,4 591,,154,,127,,428,,331,,481,,401,,29,,410,,65,,1 361,,212,,349,,243,,قائمة الجبهة الشعبية,,7,
"",,1 153,,3,,15,,33,,763,,17,,2,,5,,16,,6,,74,,12,,197,,10,,"قائمة الشباب للرقيوالبناء",,8,
"",,534,,10,,24,,19,,74,,39,,2,,11,,26,,6,,213,,48,,26,,36,,قائمة نعم نستطيع,,9,
694,15,12,14,427,43,4,2,23,49,31,8,54,12,"قائمة حزب البنا ءالوطني",10
2 938,72,488,204,648,119,155,92,212,78,534,136,82,118,"قائمة حزب المؤتمر منأجل الجمهورية",11
903,30,64,43,333,27,7,11,157,12,78,26,94,21,"قائمة المستقلة لدفعالتنمية والتشغيل",12
268,6,67,10,28,8,3,5,5,72,16,6,11,31,"قائمة اتحاد الشبابالديمقراطي التونس ي",13
467,4,31,15,36,16,3,4,12,10,235,25,2,74,قائمة المستقبل,14
398,9,26,34,53,11,5,3,9,10,131,15,14,78,قائمة تونس العزيزة,15
256,17,32,96,31,1,0,6,2,3,54,3,5,6,"قائمة حزب الأصالةوالتقدم",16
272,14,24,26,84,18,5,8,10,2,37,11,19,14,"قائمة شباب الوسطللعمل والتنمية",17
1 737,26,79,57,231,31,16,50,77,15,605,258,13,279,قائمة حركة الشعب,18
901,413,35,179,50,31,10,16,23,6,54,29,14,41,قائمة حركة التونس ي,19
1 022,107,83,72,89,38,31,17,60,23,307,47,30,118,قائمة أمل القصرين,20
297,24,17,34,93,7,0,3,10,4,75,6,10,14,"قائمة حزب النورللديمقراطية والتنمية",21
"",,362,,8,,21,,11,,36,,26,,5,,4,,14,,175,,28,,13,,8,,13,,قائمة أولاد الشعب,,22
"",,896,,13,,37,,72,,49,,21,,14,,126,,19,,19,,233,,159,,22,,112,,"قائمة حركةالديمقراطيين الاشتراكيين",,23
"",,334,,7,,45,,34,,62,,22,,0,,6,,21,,9,,63,,18,,15,,32,,"قائمة حزب الإصلاحوالتنمية",,24
"",,1 237,,55,,94,,428,,89,,25,,10,,6,,39,,7,,297,,69,,13,,105,,قائمة الوصية,,25
"",,440,,11,,42,,120,,55,,27,,7,,8,,22,,11,,89,,8,,10,,30,,"قائمة حزب اللقاءالدستوري",,26
"",,1 027,,42,,149,,56,,106,,90,,8,,120,,53,,24,,229,,42,,31,,77,,"قائمة حزب العريضةالشعبية",,27
"",,554,,14,,53,,35,,80,,60,,59,,13,,25,,8,,87,,33,,35,,52,,قائمة نداء قرطاج,,28
"",,23 650,,1 005,,2 335,,2 634,,3 777,,1 832,,607,,1 281,,1 391,,581,,4 730,,1 178,,603,,1 696,,قائمة حزب حركة النهضة,,29
"",,1 771,,40,,192,,131,,539,,168,,20,,69,,87,,19,,154,,139,,135,,78,,قائمة تيار المحبة,,30
"",,404,,59,,67,,30,,38,,82,,3,,7,,10,,14,,65,,9,,10,,10,,قائمة حزب الــغد,,31
"",,260,,2,,42,,7,,16,,18,,8,,6,,7,,3,,101,,17,,4,,29,,"قائمة الشباب المدنيالحر",,32
"",,513,,23,,45,,34,,158,,57,,5,,24,,20,,23,,63,,22,,17,,22,,قائمة الحرية والإنصاف,,33
"",,277,,12,,23,,22,,24,,14,,2,,5,,10,,7,,117,,9,,6,,26,,قائمة التنمية الشاملة,,34
"",,1 390,,367,,52,,203,,181,,122,,5,,18,,27,,40,,178,,138,,5,,54,,قائمة حزب المبادرة,,35
"",,409,,9,,20,,17,,38,,256,,2,,6,,9,,5,,20,,13,,7,,7,,قائمةالبديــــل,,36
"",,1 155,,66,,85,,346,,141,,80,,17,,40,,78,,33,,141,,48,,37,,43,,"قائمة حركةالديمقراطيين",,37
"",,683,,10,,456,,20,,34,,16,,6,,13,,26,,9,,63,,10,,9,,11,,قائمة بني وطني,,38
"",,353,,11,,25,,20,,40,,9,,7,,11,,10,,3,,119,,18,,10,,70,,قائمة رد الاعتبار,,39
"",,291,,6,,46,,17,,35,,12,,2,,33,,16,,4,,78,,15,,3,,24,,قائمة المستقلة الأحرار,,40
"",,123,,4,,15,,6,,32,,22,,0,,4,,9,,2,,16,,3,,5,,5,,"قائمة اتحاد القوىالشبابية",,41
"",,1 108,,52,,75,,114,,61,,28,,12,,3,,82,,6,,528,,36,,9,,102,,قائمة حزب آفاق تونس,,42
"",,151,,6,,11,,20,,25,,15,,3,,3,,6,,5,,23,,7,,6,,21,,قائمة أول الغيث,,43
"",,277,,8,,23,,15,,26,,11,,3,,6,,116,,5,,27,,9,,15,,13,,قائمة غدا......أفضل,,44
"",,221,,9,,38,,11,,41,,16,,12,,7,,16,,4,,39,,13,,5,,10,,قائمة صوت المستقل,,45
"",,1 076,,12,,802,,37,,21,,12,,11,,2,,29,,13,,70,,9,,44,,14,,"قائمة المستقلة  17ديسمبر",,46
"",,522,,19,,67,,28,,73,,37,,12,,40,,47,,25,,83,,35,,9,,47,,"قائمة المنارة  الشعبيةالاجتماعية",,47
"",,400,,10,,25,,34,,23,,11,,2,,57,,16,,7,,159,,9,,2,,45,,قائمة القــــــرار,,48
"",,285,,8,,35,,11,,33,,14,,7,,9,,8,,5,,114,,15,,9,,17,,قائمة العهد,,49
"",,469,,7,,43,,32,,44,,104,,5,,3,,10,,6,,123,,66,,9,,17,,قائمة المستقلة الشعانبي,,50
"",,714,,13,,19,,50,,427,,26,,4,,15,,14,,8,,52,,12,,54,,20,,قائمة الحزب الاشتراكي,,51
"",,949,,517,,22,,81,,103,,16,,3,,4,,20,,4,,130,,17,,8,,24,,"قائمة الاتحاد من أجلتونس",,52
"",,334,,25,,28,,29,,24,,66,,7,,4,,35,,7,,69,,12,,11,,17,,"قائمة حزب التكتلالشعبي من أجل تونس",,53
"",,466,,15,,31,,25,,119,,62,,9,,13,,17,,11,,90,,16,,34,,24,,قائمة صقور الحرية,,54
"",,28 362,,1 403,,1 694,,2 087,,4 054,,3 018,,763,,1 133,,2 645,,1 139,,6 303,,1 562,,724,,1 837,,قائمة حركة نداء تونس,,55
"",,2 180,,31,,162,,141,,59,,38,,21,,24,,1 255,,139,,114,,39,,19,,138,,قائمة حزب التكتل,,56
"",,689,,32,,86,,93,,86,,54,,10,,40,,44,,27,,123,,42,,15,,37,,قائمة الأمـــــل,,57
208,8,25,10,23,9,0,8,12,8,84,3,9,9,"قائمة الحركةالديمقراطية للإصلاح",58
244,15,30,14,39,12,3,10,22,12,37,12,17,21,قائمة الشعب يريد,59
975,30,164,105,89,32,2,30,63,17,282,45,30,86,قائمة صوت القصرين,60
282,10,21,122,36,8,2,2,13,4,35,15,9,5,"قائمة الجبهة الوطنيةللإنقاذ",61
876,136,205,75,36,14,21,26,42,39,156,17,5,104,"قائمة حزب التحالفالديمقراطي",62
757,47,58,104,60,20,6,18,68,33,250,45,14,34,قائمة القصرين أولا,63
253,10,37,9,22,7,7,6,28,5,95,9,7,11,"قائمة حركة الشبابالوطني التونس ي",64
573,17,46,37,45,24,7,16,27,10,246,29,21,48,قائمة أحرار القصرين,65
225,2,28,15,19,2,4,5,9,5,102,12,3,19,قائمة الذهبية المستقلة,66
888,18,138,127,45,130,9,66,14,21,198,20,7,95,قائمة الحركة الدستورية,67
148,4,55,13,14,7,5,3,10,1,20,5,2,9,"قائمة الربيع العربيلتحقيق السيادة",68
3 441,81,297,556,557,93,49,70,198,51,927,188,44,330,"قائمة حزب الاتحادالوطني الحر",69
104 193,5 387,9 745,9 876,15 642,7 966,2 469,3 754,8 222,3 104,22 213,5 301,3 189,7 325,الأصوات المصرح بها لكل,
